GalaxyID,Class1.1,Class1.2,Class1.3
853675,0.893239,0.073643,0.033118
476769,0.257656,0.704277,0.038067
764398,0.304676,0.695324,0.0
970723,0.164104,0.830095,0.0058
932843,0.212201,0.787799,0.0
760317,0.440265,0.533324,0.026411
601569,0.484196,0.515804,0.0
197860,0.135976,0.864024,0.0
488331,0.395127,0.585367,0.019507
676553,0.920357,0.050014,0.029629
475597,0.493855,0.501058,0.005087
208093,0.279353,0.720647,0.0
223431,0.183164,0.810204,0.006633
359843,0.311323,0.686159,0.002518
639484,0.360676,0.637443,0.001881
291922,0.214604,0.756627,0.028769
742381,0.115348,0.883133,0.001518
226539,0.080774,0.898846,0.020379
656784,0.727324,0.217109,0.055567
335605,0.439441,0.560559,0.0
393496,0.772285,0.204746,0.022969
390403,0.713161,0.286839,0.0
460139,0.210172,0.763686,0.026142
829145,0.570973,0.429027,0.0
275200,0.141419,0.858581,0.0
361859,0.817811,0.123189,0.059001
578941,0.04476,0.95524,0.0
184491,0.011332,0.988668,0.0
271349,0.687964,0.245583,0.066454
368759,0.175345,0.823397,0.001258
931389,0.562179,0.435494,0.002327
264244,0.595928,0.278096,0.125976
326409,0.854377,0.124182,0.02144
604373,0.823944,0.134363,0.041693
421867,0.031981,0.951993,0.016025
332331,0.526046,0.473242,0.000711
990253,0.889,0.022,0.089
970247,0.749361,0.181969,0.068669
838997,0.066,0.934,0.0
369151,0.542174,0.405189,0.052637
478979,0.018976,0.981024,0.0
538539,0.833765,0.14208,0.024155
929045,0.669593,0.240781,0.089626
689640,0.776305,0.207876,0.015819
166062,0.01585,0.98415,0.0
731680,0.290067,0.696972,0.012961
822448,0.333709,0.644622,0.021669
129117,0.699345,0.28366,0.016995
519685,0.27151,0.72849,0.0
592052,0.722028,0.263362,0.014609
701298,0.8258,0.1742,0.0
856723,0.534705,0.465295,0.0
217502,0.050772,0.949228,0.0
137640,0.095825,0.901524,0.002651
391392,0.17443,0.802902,0.022667
838018,0.533282,0.454092,0.012626
520128,0.161,0.816,0.023
901350,0.896513,0.061899,0.041588
863062,0.285893,0.699249,0.014858
345878,0.694267,0.271978,0.033755
382182,0.779236,0.17197,0.048794
307701,0.498418,0.488725,0.012856
776969,0.035709,0.964291,0.0
939132,0.662877,0.280819,0.056304
808945,0.722382,0.245769,0.031849
640400,0.276306,0.723694,0.0
571694,0.665838,0.334162,0.0
999423,0.229128,0.763598,0.007274
566138,0.9,0.1,0.0
459247,0.441746,0.536707,0.021547
364046,0.310529,0.665163,0.024308
139077,0.84703,0.140803,0.012167
224713,0.410989,0.580332,0.008679
191932,0.367623,0.632377,0.0
262833,0.92,0.04,0.04
938264,0.031505,0.964105,0.00439
879329,1.0,0.0,0.0
158369,0.757837,0.217526,0.024636
807436,0.530741,0.413855,0.055404
285318,0.099705,0.900295,0.0
167102,0.334342,0.665658,0.0
879898,0.311671,0.677192,0.011136
624349,0.784474,0.193669,0.021857
150618,0.915516,0.0,0.084484
824278,0.699179,0.300821,0.0
481427,0.764202,0.224816,0.010982
143358,0.776304,0.112241,0.111455
406478,0.14864,0.841259,0.010101
598838,0.151399,0.839577,0.009023
292190,0.744328,0.174206,0.081466
829128,0.301597,0.582181,0.116222
690489,0.716726,0.231574,0.0517
508424,0.97892,0.0,0.02108
567957,0.422631,0.542448,0.03492
627599,0.587831,0.391021,0.021148
912267,0.019436,0.94979,0.030773
211641,0.862383,0.137617,0.0
709669,0.735017,0.225707,0.039275
620116,0.565627,0.413841,0.020533
632872,0.589856,0.386171,0.023973
105757,0.783775,0.201369,0.014856
606610,0.408022,0.591978,0.0
776742,0.670873,0.327028,0.002099
940044,0.110676,0.88163,0.007694
938804,0.468329,0.484658,0.047013
315810,0.346474,0.612195,0.041331
608694,0.352662,0.646022,0.001316
785302,0.010759,0.982845,0.006395
206330,0.812585,0.093707,0.093707
651672,0.556982,0.304309,0.138709
590279,0.076481,0.918502,0.005017
658465,0.388751,0.59181,0.019439
395552,0.657875,0.315329,0.026796
369065,0.021184,0.955718,0.023099
771315,0.9349,0.0651,0.0
531359,0.717141,0.248321,0.034538
275718,0.551506,0.432099,0.016395
563879,0.797055,0.201945,0.001
153059,0.13382,0.857198,0.008982
407650,0.143734,0.84844,0.007827
661372,0.361661,0.638339,0.0
650146,0.434121,0.544277,0.021602
853656,0.361215,0.577495,0.061291
742478,0.597211,0.402789,0.0
575237,0.306901,0.653325,0.039775
102182,0.921081,0.0,0.078919
760254,0.784939,0.197438,0.017623
262532,0.602022,0.38408,0.013897
384368,0.242279,0.757721,0.0
734283,0.555928,0.427629,0.016443
714398,0.73,0.189,0.081
291247,0.248,0.743,0.009
753136,0.568098,0.404984,0.026919
866775,0.491719,0.47047,0.037811
302962,0.509645,0.459117,0.031238
131211,0.952407,0.047593,0.0
